"Tijdstempel","Welke sexe ben je?
(Which sex are you?)","Welk niveau opleiding doe je?
(What level of study are you doing?)","In welk jaar zit je?
(In what year are you?)","In welk vakgebied studeer je?
(What field do you study in?)","Wat is jouw huidige woonsituatie?
(What is your current living situation?)","In welke stad studeer je?
(In which city do you study?)","Ben je een nationale- of internationale student?
(Are you a national or international student?)","Ben je gelovig?
(do you believe in a religion?)","Heb je op dit moment een relatie?
(Are you currently in a relationship?)","Hoe gelukkig voel je je nu? 
(How happy are you right now?)","Ben je gelukkig met je fysieke gesteldheid?
(Are you happy with your physical health?)","Hoe belangrijk is je (fysieke-) gezondheid voor je geluk? 
(How important is your physical health for your happiness?)","Hoe belangrijk is contact buiten school met andere voor jouw geluk? 
(How important is contact with people outside of school for you?)","Ik vind het belangrijk om buitenschool sociale activiteiten te doen. 
(I find it important to do social activity's outside of school.)","Ik heb een goede relatie met mijn ouders. 
(I have a good relationship with my parents.)","Ik ben gelukkig met mijn woonsituatie. 
(I am happy with my living situation.)","Ik voel me thuis in de stad waar ik woon. 
(I feel at home in the city where I live.)","Mijn academische prestaties hebben veel invloed op hoe gelukkig ik ben. 
(My academic achievements have a lot of influence on my happiness.)","Ik zit in een goede financiële situatie. 
(I am in a good financial situation.)","Geld is belangrijk voor mij om gelukkig te zijn.
(Money is important for me to be happy.)","Ik gebruik (verdovende-) middelen, Zoals wiet, alcohol of anders. 
(I use alcohol and/or drugs like weed.)","Deze middelen gebruik ik om mijzelf gelukkiger te maken. 
(I use the drugs/ alcohol to make me happier.)","Ik zit lekker in mijn vel. 
(I feel good mentally.)","Hoe gelukkig ben jij na deze enquête? 
(How do happy qre you after this questionaire?)"
"2024/04/30 12:31:07 a.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","7","6","8","8","3","4","7","9","2","9","Ja (Yes)","6","4","5"
"2024/04/30 11:21:58 a.m. EEST","Man (Male)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","5","9","8","7","7","6","7","7","10","8","8","Ja (Yes)","6","5","5"
"2024/05/01 2:50:46 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Ja (Yes)","3","7","8","6","4","3","6","4","3","9","6","Ja (Yes)","7","5","4"
"2024/05/01 7:00:36 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Technisch (Technical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","8","6","7","6","9","9","7","6","7","7","Nee (No)","0","8","8"
"2024/05/02 7:29:13 p.m. EEST","Man (Male)","HBO","1e (1st)","Technisch (Technical)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","6","3","9","8","6","5","5","8","8","9","6","Nee (No)","0","4","6"
"2024/05/14 4:50:22 p.m. EEST","Vrouw (Female)","MBO","1e (1st)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Ja (Yes)","Nee (No)","7","3","10","10","10","8","6","10","7","9","7","Nee (No)","0","8","7"
"2024/05/14 7:14:41 p.m. EEST","Vrouw (Female)","MBO","1e (1st)","Anders (Other)","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","8","9","9","8","8","9","10","5","6","8","Nee (No)","3","6","7"
"2024/05/15 12:53:50 p.m. EEST","Vrouw (Female)","HBO","4e (4th)","Lifesciences","Thuiswonend (At home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","3","8","8","6","3","6","3","3","7","4","4","Ja (Yes)","8","4","3"
"2024/05/15 1:37:52 p.m. EEST","Vrouw (Female)","Universiteit (University) Bachelor","3e (3rd)","Anders (Other)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Nee (No)","7","7","5","9","10","10","7","8","9","9","8","Ja (Yes)","6","9","8"
"2024/05/15 2:16:32 p.m. EEST","Vrouw (Female)","HBO","1e (1st)","Sociaal (Social)","Uitwonend (Away from home)","Groningen","Nationaal (National)","Nee (No)","Ja (Yes)","6","9","9","9","9","6","10","10","7","4","6","Ja (Yes)","4","6","10"
