"Periode","Tevredenheid, 18 jaar of ouder (%)","Tevredenheid, 18 tot 25 jaar (%)","Geluk, 18 jaar of ouder (%)","Geluk, 18 tot 25 jaar (%)"
"1997","84,1","84,8","88,2","91,1"
"1998","85,4","84,9","89,0","90,9"
"1999","84,8","84,6","88,4","89,8"
"2000","85,8","85,5","89,1","90,8"
"2001","85,9","85,7","89,3","90,9"
"2002","84,4","81,4","88,0","88,7"
"2003","84,5","84,6","87,8","90,7"
"2004","84,3","84,1","87,8","90,6"
"2005","83,9","82,8","87,4","87,6"
"2006","84,4","85,0","88,8","90,5"
"2007","84,9","87,2","88,2","89,8"
"2008","85,8","86,5","88,7","91,4"
"2009","85,1","84,6","89,0","90,0"
"2010","83,8","84,7","87,7","88,8"
"2011","84,7","85,0","88,1","89,4"
"2012","85,1","85,8","89,0","90,4"
"2013","83,6","85,6","87,5","90,0"
"2014","84,6","82,6","87,9","89,6"
"2015","83,9","86,2","87,4","88,7"
"2016","85,2","85,5","88,3","88,5"
"2017","85,4","85,3","87,5","87,5"
"2018","85,7","83,8","87,7","85,8"
"2019","87,3","86,1","88,9","87,5"
"2020","84,8","81,4","86,8","83,8"
"2021","83,6","76,9","86,4","80,9"
"","","","",""
